Developer Responsibility,Applicable/Not applicable,Status
"Personal data must be collected only for a specific, explicitly stated, and lawful purpose. Unnecessary or undisclosed fields must not be collected. (POPIA)",Applicable,To Be Updated / Implemented
The volume of personal data collected must be minimised to only what is adequate and relevant for the stated purpose. (POPIA),Applicable,To Be Updated / Implemented
"An objection mechanism must be implemented, allowing Data Subjects to object to the processing of their personal information. (POPIA)",Applicable,Already Implemented
"Special personal information such as health, biometric, criminal, political, and religious data must be stored with additional encryption and access controls, and must be processed only with explicit consent. (POPIA)",Not applicable,N/A
Cross-border transfers of personal information must include appropriate technical safeguards in the implementation. Transfers to countries without equivalent protection must be blocked unless the data subject has explicitly consented. (POPIA),Applicable,Already Implemented
"Internal breach detection events such as unauthorised access, bulk exports, and integrity check failures must be logged to support timely notification of the Information Regulator and affected Data Subjects. (POPIA)",Applicable,Already Implemented
"Reasonable technical security measures must be implemented to protect personal information against loss, unauthorised access, and disclosure. (POPIA)",Applicable,Already Implemented
SOC 2 Type II (Trust Service Criteria),,
"Comprehensive audit logging must be implemented for all security-relevant actions including login, logout, data access, privilege changes, and admin actions. Each log entry must include user ID, timestamp, IP address, and a description of the action.",Applicable,To Be Updated / Implemented
Access controls must enforce least privilege. Each role must have access only to the resources required for its function.,Applicable,To Be Updated / Implemented
Multi-factor authentication must be enforced for access to all administrative interfaces and privileged functions.,Applicable,To Be Updated / Implemented
"Automatic session timeout must be implemented at a maximum of 30 minutes of inactivity, with server-side session invalidation on logout.",Applicable,To Be Updated / Implemented
"All data must be encrypted at rest using AES-256 or equivalent, and in transit using TLS 1.2 or higher.",Applicable,To Be Updated / Implemented
Input validation and output encoding must be applied to all user-supplied data to prevent injection and XSS vulnerabilities.,Applicable,To Be Updated / Implemented
"Error handling must be implemented so that stack traces, internal file paths, and system details are never returned to the end user.",Applicable,Already Implemented
System health and availability monitoring endpoints such as /health or /status must be implemented and must not expose sensitive system information.,Applicable,Already Implemented
A data export or restore mechanism must be implemented at the application level for critical data to support recovery requirements.,Applicable,To Be Updated / Implemented
Software dependencies must be scanned for known vulnerabilities as part of the build pipeline. Builds with critical CVEs must not proceed to deployment.,Applicable,To Be Updated / Implemented
Separation of duties must be enforced in code. Users must not be able to approve their own requests or unilaterally deploy their own code changes to production.,Applicable,To Be Updated / Implemented
ISO/IEC 27001:2022 (Information Security Management),,
"All secrets including API keys, database credentials, and tokens must be managed via a secrets manager or environment variables. Hardcoding secrets in source code is not permitted. (Annex A 8.10)",Applicable,To Be Updated / Implemented
"Only approved cryptographic algorithms and key lengths must be used such as AES-256, RSA-2048 or higher, and SHA-256 or higher. MD5, SHA-1, and DES are not permitted. (Annex A 8.24)",Applicable,To Be Updated / Implemented
Access logging and a tamper-evident audit trail must be implemented for all sensitive operations and data access events. (Annex A 8.15),Applicable,To Be Updated / Implemented
"Secure-by-default configuration must be applied. Default credentials must be changed, debug mode must be disabled, and service accounts must follow least privilege. (Annex A 8.9)",Applicable,Already Implemented
Software composition analysis must be integrated into the CI/CD pipeline. Deployment of components with known critical vulnerabilities must be blocked. (Annex A 8.8),Applicable,To Be Updated / Implemented
"API responses must be filtered to prevent leakage of sensitive internal data fields. Internal IDs, password hashes, and other users' data must not be returned unnecessarily. (Annex A 8.12)",Applicable,To Be Updated / Implemented
Security testing including SAST and DAST must be integrated into the CI/CD pipeline. Builds with high or critical findings must be blocked from deployment. (Annex A 8.29),Applicable,To Be Updated / Implemented
"All web inputs must be validated and sanitised server-side before processing, logging, or storing, to prevent injection, XSS, and path traversal. (Annex A 8.28)",Applicable,To Be Updated / Implemented
The application must be free of insecure direct object references. All resource identifiers must be opaque and access must be verified against the authenticated user for every request. (Annex A 8.3),Applicable,To Be Updated / Implemented
Third-party libraries and frameworks must be kept up to date. Security patches must be applied within a defined SLA based on severity. (Annex A 8.8),Applicable,To Be Updated / Implemented
"Sensitive data must be handled according to its classification. Confidential data must be encrypted, access-controlled, and excluded from non-essential API responses. (Annex A 5.12)",Applicable,To Be Updated / Implemented
"A secure software development lifecycle must be followed. Threat modelling, peer code review, and security testing must be performed before each release. (Annex A 8.25 to 8.31)",Applicable,Already Implemented
